"","worktime","sector","sex","isced11","country","Year","Total"
"110","FT","PRIV","F","ED54","SE","2005",NA
"111","FT","PRIV","F","ED54","SI","2005",NA
"112","FT","PRIV","F","ED54","SK","2005",NA
"113","FT","PRIV","F","ED54","TR","2005",NA
"114","FT","PRIV","F","ED54","UK","2005",NA
"115","FT","PRIV","F","ED55","AT","2005",NA
"116","FT","PRIV","F","ED55","BE","2005",NA
"117","FT","PRIV","F","ED55","BG","2005",NA
"118","FT","PRIV","F","ED55","CH","2005",NA
"119","FT","PRIV","F","ED55","CY","2005",NA
"120","FT","PRIV","F","ED55","CZ","2005",NA
"121","FT","PRIV","F","ED55","DE","2005",NA
"122","FT","PRIV","F","ED55","DK","2005",NA
"123","FT","PRIV","F","ED55","EE","2005",NA
"124","FT","PRIV","F","ED55","EL","2005",NA
"125","FT","PRIV","F","ED55","ES","2005",NA
"128","FT","PRIV","F","ED55","FI","2005",NA
"129","FT","PRIV","F","ED55","FR","2005",NA
"130","FT","PRIV","F","ED55","HR","2005",NA
"131","FT","PRIV","F","ED55","HU","2005",NA
"132","FT","PRIV","F","ED55","IE","2005",NA
"133","FT","PRIV","F","ED55","IS","2005",NA
"134","FT","PRIV","F","ED55","IT","2005",NA
"135","FT","PRIV","F","ED55","LI","2005",NA
"136","FT","PRIV","F","ED55","LT","2005",NA
"137","FT","PRIV","F","ED55","LU","2005",NA
"138","FT","PRIV","F","ED55","LV","2005",NA
"139","FT","PRIV","F","ED55","ME","2005",NA
"140","FT","PRIV","F","ED55","MK","2005",NA
"141","FT","PRIV","F","ED55","MT","2005",NA
"142","FT","PRIV","F","ED55","NL","2005",NA
"143","FT","PRIV","F","ED55","NO","2005",NA
"144","FT","PRIV","F","ED55","PL","2005",NA
"145","FT","PRIV","F","ED55","PT","2005",NA
"146","FT","PRIV","F","ED55","RO","2005",NA
"147","FT","PRIV","F","ED55","RS","2005",NA
"148","FT","PRIV","F","ED55","SE","2005",NA
"149","FT","PRIV","F","ED55","SI","2005",NA
"150","FT","PRIV","F","ED55","SK","2005",NA
"151","FT","PRIV","F","ED55","TR","2005",NA
"152","FT","PRIV","F","ED55","UK","2005",NA
"153","FT","PRIV","F","ED5SW","AT","2005",NA
"154","FT","PRIV","F","ED5SW","BE","2005",NA
"155","FT","PRIV","F","ED5SW","BG","2005",NA
"156","FT","PRIV","F","ED5SW","CH","2005",NA
"157","FT","PRIV","F","ED5SW","CY","2005",NA
"158","FT","PRIV","F","ED5SW","CZ","2005",NA
"159","FT","PRIV","F","ED5SW","DE","2005",NA
"160","FT","PRIV","F","ED5SW","DK","2005",NA
"161","FT","PRIV","F","ED5SW","EE","2005",NA
"162","FT","PRIV","F","ED5SW","EL","2005",NA
"163","FT","PRIV","F","ED5SW","ES","2005",NA
"166","FT","PRIV","F","ED5SW","FI","2005",NA
"167","FT","PRIV","F","ED5SW","FR","2005",NA
"168","FT","PRIV","F","ED5SW","HR","2005",NA
"169","FT","PRIV","F","ED5SW","HU","2005",NA
"170","FT","PRIV","F","ED5SW","IE","2005",NA
"171","FT","PRIV","F","ED5SW","IS","2005",NA
"172","FT","PRIV","F","ED5SW","IT","2005",NA
"173","FT","PRIV","F","ED5SW","LI","2005",NA
"174","FT","PRIV","F","ED5SW","LT","2005",NA
"175","FT","PRIV","F","ED5SW","LU","2005",NA
"176","FT","PRIV","F","ED5SW","LV","2005",NA
"177","FT","PRIV","F","ED5SW","ME","2005",NA
"178","FT","PRIV","F","ED5SW","MK","2005",NA
"179","FT","PRIV","F","ED5SW","MT","2005",NA
"180","FT","PRIV","F","ED5SW","NL","2005",NA
"181","FT","PRIV","F","ED5SW","NO","2005",NA
"182","FT","PRIV","F","ED5SW","PL","2005",NA
"183","FT","PRIV","F","ED5SW","PT","2005",NA
"184","FT","PRIV","F","ED5SW","RO","2005",NA
"185","FT","PRIV","F","ED5SW","RS","2005",NA
"186","FT","PRIV","F","ED5SW","SE","2005",NA
"187","FT","PRIV","F","ED5SW","SI","2005",NA
"188","FT","PRIV","F","ED5SW","SK","2005",NA
"189","FT","PRIV","F","ED5SW","TR","2005",NA
"190","FT","PRIV","F","ED5SW","UK","2005",NA
"191","FT","PRIV","F","ED6","AT","2005",NA
"192","FT","PRIV","F","ED6","BE","2005",NA
"193","FT","PRIV","F","ED6","BG","2005",NA
"194","FT","PRIV","F","ED6","CH","2005",NA
"195","FT","PRIV","F","ED6","CY","2005",NA
"196","FT","PRIV","F","ED6","CZ","2005",NA
"197","FT","PRIV","F","ED6","DE","2005",NA
"198","FT","PRIV","F","ED6","DK","2005",NA
"199","FT","PRIV","F","ED6","EE","2005",NA
"200","FT","PRIV","F","ED6","EL","2005",NA
"201","FT","PRIV","F","ED6","ES","2005",NA
"204","FT","PRIV","F","ED6","FI","2005",NA
"205","FT","PRIV","F","ED6","FR","2005",NA
"206","FT","PRIV","F","ED6","HR","2005",NA
"207","FT","PRIV","F","ED6","HU","2005",NA
"208","FT","PRIV","F","ED6","IE","2005",NA
"209","FT","PRIV","F","ED6","IS","2005",NA
"210","FT","PRIV","F","ED6","IT","2005",NA
"211","FT","PRIV","F","ED6","LI","2005",NA
"212","FT","PRIV","F","ED6","LT","2005",NA
"213","FT","PRIV","F","ED6","LU","2005",NA
"214","FT","PRIV","F","ED6","LV","2005",NA
"215","FT","PRIV","F","ED6","ME","2005",NA
"216","FT","PRIV","F","ED6","MK","2005",NA
"217","FT","PRIV","F","ED6","MT","2005",NA
"218","FT","PRIV","F","ED6","NL","2005",NA
"219","FT","PRIV","F","ED6","NO","2005",NA
"220","FT","PRIV","F","ED6","PL","2005",NA
"221","FT","PRIV","F","ED6","PT","2005",NA
"222","FT","PRIV","F","ED6","RO","2005",NA
"223","FT","PRIV","F","ED6","RS","2005",NA
"224","FT","PRIV","F","ED6","SE","2005",NA
"225","FT","PRIV","F","ED6","SI","2005",NA
"226","FT","PRIV","F","ED6","SK","2005",NA
"227","FT","PRIV","F","ED6","TR","2005",NA
"228","FT","PRIV","F","ED6","UK","2005",NA
"229","FT","PRIV","F","ED64","AT","2005",NA
"230","FT","PRIV","F","ED64","BE","2005",NA
"231","FT","PRIV","F","ED64","BG","2005",NA
"232","FT","PRIV","F","ED64","CH","2005",NA
"233","FT","PRIV","F","ED64","CY","2005",NA
"234","FT","PRIV","F","ED64","CZ","2005",NA
"235","FT","PRIV","F","ED64","DE","2005",NA
"236","FT","PRIV","F","ED64","DK","2005",NA
"237","FT","PRIV","F","ED64","EE","2005",NA
"238","FT","PRIV","F","ED64","EL","2005",NA
"239","FT","PRIV","F","ED64","ES","2005",NA
"240","FT","PRIV","F","ED64","FI","2005",NA
"241","FT","PRIV","F","ED64","FR","2005",NA
"242","FT","PRIV","F","ED64","HR","2005",NA
"243","FT","PRIV","F","ED64","HU","2005",NA
"244","FT","PRIV","F","ED64","IE","2005",NA
"245","FT","PRIV","F","ED64","IS","2005",NA
"246","FT","PRIV","F","ED64","IT","2005",NA
"247","FT","PRIV","F","ED64","LI","2005",NA
"248","FT","PRIV","F","ED64","LT","2005",NA
"249","FT","PRIV","F","ED64","LU","2005",NA
"250","FT","PRIV","F","ED64","LV","2005",NA
"251","FT","PRIV","F","ED64","ME","2005",NA
"252","FT","PRIV","F","ED64","MK","2005",NA
"253","FT","PRIV","F","ED64","MT","2005",NA
"254","FT","PRIV","F","ED64","NL","2005",NA
"255","FT","PRIV","F","ED64","NO","2005",NA
"256","FT","PRIV","F","ED64","PL","2005",NA
"257","FT","PRIV","F","ED64","PT","2005",NA
"258","FT","PRIV","F","ED64","RO","2005",NA
"259","FT","PRIV","F","ED64","RS","2005",NA
"260","FT","PRIV","F","ED64","SE","2005",NA
"261","FT","PRIV","F","ED64","SI","2005",NA
"262","FT","PRIV","F","ED64","SK","2005",NA
"263","FT","PRIV","F","ED64","TR","2005",NA
"264","FT","PRIV","F","ED64","UK","2005",NA
"265","FT","PRIV","F","ED65","AT","2005",NA
"266","FT","PRIV","F","ED65","BE","2005",NA
"267","FT","PRIV","F","ED65","BG","2005",NA
"268","FT","PRIV","F","ED65","CH","2005",NA
"269","FT","PRIV","F","ED65","CY","2005",NA
"270","FT","PRIV","F","ED65","CZ","2005",NA
"271","FT","PRIV","F","ED65","DE","2005",NA
"272","FT","PRIV","F","ED65","DK","2005",NA
"273","FT","PRIV","F","ED65","EE","2005",NA
"274","FT","PRIV","F","ED65","EL","2005",NA
"275","FT","PRIV","F","ED65","ES","2005",NA
"276","FT","PRIV","F","ED65","FI","2005",NA
"277","FT","PRIV","F","ED65","FR","2005",NA
"278","FT","PRIV","F","ED65","HR","2005",NA
"279","FT","PRIV","F","ED65","HU","2005",NA
"280","FT","PRIV","F","ED65","IE","2005",NA
"281","FT","PRIV","F","ED65","IS","2005",NA
"282","FT","PRIV","F","ED65","IT","2005",NA
"283","FT","PRIV","F","ED65","LI","2005",NA
"284","FT","PRIV","F","ED65","LT","2005",NA
"285","FT","PRIV","F","ED65","LU","2005",NA
"286","FT","PRIV","F","ED65","LV","2005",NA
"287","FT","PRIV","F","ED65","ME","2005",NA
"288","FT","PRIV","F","ED65","MK","2005",NA
"289","FT","PRIV","F","ED65","MT","2005",NA
"290","FT","PRIV","F","ED65","NL","2005",NA
"291","FT","PRIV","F","ED65","NO","2005",NA
"292","FT","PRIV","F","ED65","PL","2005",NA
"293","FT","PRIV","F","ED65","PT","2005",NA
"294","FT","PRIV","F","ED65","RO","2005",NA
"295","FT","PRIV","F","ED65","RS","2005",NA
"296","FT","PRIV","F","ED65","SE","2005",NA
"297","FT","PRIV","F","ED65","SI","2005",NA
"298","FT","PRIV","F","ED65","SK","2005",NA
